,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
097,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
098,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
099,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
100,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
101,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
102,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
103,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
104,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
105,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
106,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
107,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
108,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
109,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
110,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
111,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
112,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
113,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
114,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
115,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
116,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
117,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
118,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
119,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
120,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
121,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
122,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
123,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
124,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
125,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
126,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
127,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
128,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
129,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
130,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
131,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
132,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
133,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
134,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
135,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
136,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
137,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
138,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
139,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
140,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
141,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
142,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
143,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
144,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
145,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
146,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
147,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
148,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
149,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
150,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
151,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
152,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
153,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
