,cat
923,25.75
924,25.25
925,25.5
926,25.5
927,25.75
928,24.0
929,25.5
930,19.75
931,22.5
932,21.0
933,22.0
934,21.5
935,22.25
936,21.25
937,21.5
938,20.25
939,22.0
940,19.75
941,22.0
942,21.5
943,22.25
944,20.75
945,21.5
946,20.5
947,22.0
948,20.25
949,22.5
950,18.75
951,21.0
952,17.25
953,21.5
954,22.0
955,20.75
956,21.25
957,21.5
958,20.5
959,23.0
960,16.0
961,19.25
962,18.0
963,19.75
964,20.5
965,19.75
966,19.5
967,20.0
968,17.75
969,21.0
970,21.25
971,24.25
972,23.0
973,25.0
974,25.25
975,24.25
976,25.75
977,25.25
978,21.75
979,24.0
980,17.25
981,19.25
982,17.75
983,19.25
984,19.25
985,19.5
986,19.75
987,20.0
988,18.5
989,19.25
990,24.5
991,24.0
992,22.75
993,24.25
994,22.75
995,23.5
996,25.0
997,24.5
998,22.75
999,25.5
